CONCEPTID	CONCEPTSTATUS	FULLYSPECIFIEDNAME	CTV3ID	SNOMEDID	ISPRIMITIVE
85232009	0	Left heart failure (disorder)	XE2QG	D3-16017	0
85293002	0	Interstitial tissue (body structure)	XUMJV	T-1A007	1
85362000	4	Human transmitted infectious disease (disorder)	XUMKW	DE-01500	1
85417000	0	Autonomic drug (product)	XUMLG	C-67000	1
85421007	0	Structure of right half of body (body structure)	XUMLJ	T-D0016	0
85537004	0	Glenohumeral joint structure (body structure)	Xa1Q7	T-15411	1
85756007	0	Body tissue structure (body structure)	XUMPr	T-D0050	1
85769006	0	Streptococcal infectious disease (disorder)	A3B0.	DE-14200	0
85876005	0	Endoscopy with surgical procedure (procedure)	XUMRX	P1-07001	0
85919009	0	Disorder of intestine (disorder)	X302f	D5-40000	0
85921004	0	Puncture procedure (procedure)	XUMS9	P1-01100	0
86049000	0	Malignant neoplasm, primary (morphologic abnormality)	BB02.	M-80003	1
86088003	0	Centesis (procedure)	XUMUT	P1-01130	0
86201001	0	Destructive procedure of musculoskeletal system (procedure)	XUMVn	P1-10C00	0
86273004	0	Biopsy (procedure)	XUMWh	P1-03100	0
86308005	0	Sympathomimetic agent (product)	x01CX	C-68000	1
86406008	0	Human immunodeficiency virus infection (disorder)	X70M6	DE-36300	0
86498000	0	Respiratory smooth muscle relaxant (product)	XUMZb	C-69500	1
86508006	0	High humidity (physical force)	Xa3DM	A-80243	1
86598002	0	Structure of apex of lung (body structure)	XUMb1	T-280A0	1
86682003	0	Structure of ceruminous gland (body structure)	XUMbw	T-AB240	1
86762007	0	Structure of digestive system (body structure)	X754C	T-50000	1
86967005	0	Tool, device (physical object)	XUMff	A-45500	1
87163000	0	Leukemia, no ICD-O subtype (morphologic abnormality)	BBr..	M-98003	1
87172008	0	Gram-negative bacillus (organism)	X73JU	L-10025	1
87279008	0	Excision of lesion of colon (procedure)	XaBAX	P1-57362	0
87281005	0	Death from overwork (event)	XUMjk	DF-D0070	0
87568004	0	Hormone (substance)	XUMn8	F-B0000	1
87612001	0	Blood (substance)	X79cn	T-C2000	1
87628006	0	Bacterial infectious disease (disorder)	X70Gv	DE-10000	0
87642003	0	Dislocation (morphologic abnormality)	XUMnx	M-13000	1
87759004	0	Female internal genitalia structure (body structure)	XS1CM	T-80020	1
87784001	0	Soft tissues (body structure)	XUMpi	T-1A000	1
87858002	0	Drug-related disorder (disorder)	XUMqg	DF-10000	0
87878005	0	Left ventricular structure (body structure)	XM0PV	T-32600	1
87953007	0	Ureteric structure (body structure)	XM0Px	T-73000	1
88111009	0	Altered bowel function (finding)	19EA.	F-54212	1
88230002	0	Disorder of skeletal system (disorder)	XUMvK	D1-00100	0
88279005	0	Anti-rheumatic agent (product)	XUMvr	C-60020	1
88928006	0	Structure of synovial tissue of joint (body structure)	XUN4N	T-15003	1
88937006	0	Introduction of prosthesis (procedure)	XUN4U	P7-71000	0
89187006	0	Airway structure (body structure)	Xa1DY	T-20001	1
89309003	0	Organic sulfur compound (substance)	Xa7Mt	C-22000	1
89488007	0	Disorder of the nose (disorder)	XUNBO	D2-02000	0
89545001	0	Face structure (body structure)	XaADe	T-D1200	1
89587004	0	Removal of foreign body from abdominal cavity (procedure)	X40bo	P1-B6309	0
89615005	0	Abnormal cellular component of blood (morphologic abnormality)	XUND0	M-63000	1
89804003	0	Miscellaneous drug (navigational concept)	XUNFE	C-B7000	1
89837001	0	Urinary bladder structure (body structure)	XM0Py	T-74000	1
89890002	0	Structure of lymphatic system (body structure)	XUNGF	T-C6000	1
90000002	0	Smooth muscle relaxant (product)	x01G3	C-69000	1
90131007	0	Arthrocentesis (procedure)	Xa84w	P1-10120	0
90264002	0	Male genital structure (body structure)	7N52.	T-90000	1
90332006	0	Acetaminophen (product)	di2..	C-60130	1
90339002	0	Germicide (substance)	XUNLt	C-00200	1
90412006	0	Colonoscope, device (physical object)	XUNMw	A-2B040	1
90545009	4	Finding of sensation (qualifier value)	XUTnJ	F-A2000	1
90572001	0	Structure of lower lobe of lung (body structure)	XUNOq	T-28830	1
90708001	0	Kidney disease (disorder)	X30Hc	D7-11000	0
90734009	0	Chronic (qualifier value)	X78te	G-A270	1
90780006	0	Entire bone (organ) (body structure)	Xa8So	T-11001	1
90821003	0	Complication related to pregnancy (disorder)	XUNSD	D8-10000	1
91159003	0	Structure of auditory system (body structure)	XaCFu	T-A0060	1
91251008	0	Physical therapy procedure (regime/therapy)	Xa9EJ	P7-00060	1
91521001	0	Corticosterone (substance)	X80FS	F-B2890	1
91689009	0	Body system structure (body structure)	Xa1gC	T-D0046	1
91690000	0	Entire subdivision of organ system (body structure)	XUNd8	T-D0047	1
91715002	0	Spinal cord, roots and ganglia structure (body structure)	XUNdO	T-A7000	1
91717005	0	Organ part (body structure)	XS0uy	T-D0063	1
91720002	0	Body substance (substance)	XaDtz	T-D0080	1
91721003	0	Anatomical spatial entity (body structure)	XUNdQ	T-D00A0	1
91722005	0	Physical anatomical entity (body structure)	XUNdR	T-D0004	1
91723000	0	Anatomical structure (body structure)	XUNdS	T-D0005	1
91724006	0	Tracheobronchial structure (body structure)	Xa17v	T-20210	1
91725007	0	Serous sac structure (body structure)	XUNdT	T-1A112	1
91744000	0	Cardiac chamber structure (body structure)	XaDy6	T-32081	1
91805003	0	Anatomical feature (body structure)	XUNeO	T-D00A2	1
91806002	0	Body cavity structure (body structure)	Xa1Va	T-D00A3	1
91807006	0	Structure of body cavity subdivision (body structure)	XUNeP	T-D00A4	1
91808001	0	Organ cavity structure (body structure)	XS0v5	T-D00A5	1
91809009	0	Structure of serous cavity (body structure)	XUNeQ	T-D00A7	1
91810004	0	Structure of cavity of serous sac (body structure)	XUNeR	T-D00A8	1
91813002	0	External anatomical feature (body structure)	XUNeV	T-D00B0	1
91817001	0	Apex (external anatomical feature) (body structure)	XUNeZ	T-D00B4	1
91819003	0	Base (external anatomical feature) (body structure)	XUNeb	T-D00B6	1
91830000	0	Structure of body conduit (body structure)	XUNen	T-D00AB	1
91831001	0	Internal anatomical feature (body structure)	XUNeo	T-D00C0	1
91833003	0	Anatomical junction (body structure)	XUNeq	T-D00E0	1
91854005	0	Acute leukemia in remission (disorder)	XUNf9	DC-F4123	1
91855006	0	Acute leukemia, disease (disorder)	Xa9AM	DC-F4133	0
91858008	0	Acute monocytic leukemia in remission (disorder)	XUNfB	DC-F4333	0
91859000	4	Acute monocytic leukemia, FAB M5 (disorder)	B660.	DC-F4323	1
91860005	0	Acute myeloid leukemia in remission (disorder)	XUNfC	DC-F4233	0
91861009	0	Acute myeloid leukemia, disease (disorder)	B650.	DC-F4223	0
93142004	0	Leukemia in remission (disorder)	XUNut	DC-F4103	1
93143009	0	Leukemia, disease (disorder)	XUNuu	DC-F4113	0
93432008	0	Drug-induced asthma (disorder)	X1023	D2-51040	0
93451002	0	Erythroleukemia, FAB M6 (disorder)	XaBAl	DC-F4723	0
93720005	0	Primary malignant neoplasm of bone marrow (disorder)	XUO3z	DC-F4003	0
94716000	0	Myeloid leukemia in remission (disorder)	XUOIT	DC-F4213	0
95320005	0	Disorder of skin (disorder)	XUSvi	D0-00004	0
95324001	0	Skin lesion (disorder)	Xa02q	D0-00050	0
95436008	0	Lung consolidation (disorder)	Xa7u5	D2-50020	0
95880003	0	Soft tissue infection (disorder)	XUOZK	DE-00090	0
95896000	0	Protozoan infection (disorder)	XUOZU	DE-50090	0
96367001	0	Human insulin (substance)	XUOgE	C-A2203	1
102572006	0	Edema of lower extremity (finding)	Xa872	F-18440	0
102574007	0	Edema of leg (finding)	Xa2kw	F-18444	0
102603008	0	Numbness of skin (finding)	Xa6mx	F-44352	0
102905003	0	Absence of guilt (situation)	XSL51	F-92655	0
102932008	0	Fear of hypertension (finding)	XU0nJ	F-94682	1
102957003	0	Neurological finding (finding)	X75YQ	F-A0040	1
103036003	0	11-Oxycorticosteroid (substance)	XU0om	F-B2590	1
103379005	0	Procedural approach (qualifier value)	X90MT	G-D000	1
103613006	0	Needle track (morphologic abnormality)	XU0xB	M-14382	1
103626005	0	Diffuse inflammation (morphologic abnormality)	XU0xO	M-40007	1
103693007	0	Diagnostic procedure (procedure)	XU0yY	P0-00002	0
103708000	0	Diagnostic surgical procedure (procedure)	XU0yn	P1-00005	0
103709008	0	Failed attempted procedure (situation)	XU0yo	P1-00018	1
103713001	0	Replacement of catheter (procedure)	XU0yt	P1-05537	0
103715008	0	Removal of catheter (procedure)	X00Pg	P1-05539	0
103716009	0	Placement of stent (procedure)	XU0yv	P1-05550	0
103718005	0	Removal of stent (procedure)	XU0yx	P1-05554	0
105427007	0	Divorced parents (family) (social concept)	13HB.	S-10200	1
105429005	0	Elderly parents (family) (person)	XU1So	S-10240	1
105490003	0	Overwork (finding)	X76Ab	S-20515	1
105590001	0	Substance (substance)	X90Dg	F-61002	1
105606008	0	Injury of musculoskeletal system (disorder)	Xa2YA	DD-100F7	0
105616000	0	Open wound of limb (disorder)	XSBjq	DD-330F8	0
105635000	0	Disease due to Retroviridae (disorder)	A798.	DE-360F8	0
105655004	0	Disease due to Trypanosomatidae (disorder)	XU1Vv	DE-550F9	0
105727008	0	Age AND/OR growth period (observable entity)	XU1XF	F-080F9	1
105752005	3	Salmonella group M (organism)	Xa8vl	L-1A200	1
105785002	0	Adhesive/bandage/suture, device (physical object)	XU1XZ	A-130F8	1
105788000	0	Probe/sound/bougie/airway, device (physical object)	XU1Xc	A-250F8	1
105789008	0	Cannula/tube/catheter, device (physical object)	XU1Xd	A-260F8	1
105794008	0	Scope/camera, device (physical object)	XU1Xi	A-2B0F8	1
105799003	0	Household device (physical object)	XU1Xm	A-400F1	1
105800004	0	Home/farm machine/tool, device (physical object)	XU1Xo	A-450F8	1
105815003	0	Carbon AND/OR carbon compound (substance)	Xa4h0	C-105F9	1
105818001	0	Sulfur AND/OR sulfur compound (substance)	Xa4gq	C-108F9	1
105904009	0	Type of drug preparation (qualifier value)	XU1Yq	C-505F9	1
105969002	0	Disorder of connective tissue (disorder)	XE1DE	D1-100F7	0
105981003	0	Disorder of cardiac function (disorder)	XU1ZY	D3-10020	1
106005003	0	Hypertension AND/OR vomiting complicating pregnancy childbirth AND/OR puerperium (disorder)	XU1Zs	D8-110F8	1
106023006	0	Finding of self perception, self concept pattern (finding)	XU1aA	F-0B3F9	1
106028002	0	Musculoskeletal finding (finding)	X76g6	F-10000	0
106029005	0	Musculoskeletal function (observable entity)	XU1aE	F-10001	1
106048009	0	Respiratory finding (finding)	Xa05Y	F-200F1	0
106063007	0	Cardiovascular finding (finding)	XM02q	F-300F1	0
106064001	0	Cardiovascular pressure AND/OR pulse finding (finding)	XU1aW	F-310F8	1
106076001	0	Skin finding (finding)	Ua1bV	F-40001	0
106077005	0	Integumentary system finding (finding)	XU1ah	F-400F1	0
106079008	0	Digestive system function (observable entity)	Xa8J5	F-50001	1
106080006	4	Digestive system finding (finding)	X76cA	F-500F1	1
106084002	0	Large bowel function (observable entity)	XU1an	F-54000	1
106090003	0	Body fluid property (observable entity)	XU1ar	F-607F9	1
106092006	0	Simple organic compound (substance)	XU1au	F-610F8	1
106098005	0	Urinary system finding (finding)	XU1ay	F-700F1	0
106099002	0	Urinary system finding related to kidney AND/OR ureter (finding)	XU1b0	F-701F9	1
106100005	0	Lower urinary tract finding (finding)	XU1b1	F-720F9	0
106103007	0	Perinatal finding (finding)	Xa7Hj	F-800F1	1
106104001	0	Female reproductive finding (finding)	XU1b6	F-800F8	1
106114005	0	Prenatal AND/OR neonatal state (finding)	XU1bC	F-880F8	1
106126000	0	Emotional state finding (finding)	Ua16B	F-920F8	1
106131003	0	Mood finding (finding)	X760o	F-940F8	1
106147001	0	Sensory nervous system finding (finding)	XU1bS	F-A20F8	1
106148006	0	Sensory function (observable entity)	X75qW	F-A20F9	1
106181007	0	Immunologic substance (substance)	XU1bv	F-C00F1	1
106182000	0	Immune system finding (finding)	XU1bw	F-C00F9	1
106190000	0	Allergic state (disorder)	X79pp	F-C30F9	1
106200001	0	Hematopoietic system finding (finding)	XU1c7	F-D00F1	0
106228007	1	Modifier, linkage term AND/OR qualifier (qualifier value)	XU1cT	G-00F1	1
106231008	0	Special information qualifier (qualifier value)	XU1cY	G-4000	1
106232001	0	Adjectival modifier (qualifier value)	XU1cZ	G-A0F8	1
106233006	0	Topographical modifier (qualifier value)	XU1ca	G-A1F8	1
106234000	0	General adjectival modifier (qualifier value)	XU1cb	G-A2F9	1
106237007	0	Linkage concept (linkage concept)	XU1cf	G-C000	1
106239005	0	Modifier mainly for procedure (qualifier value)	XU1cg	G-D2F8	1
106335002	0	Clerical/related worker (occupation)	XU1e4	J-30000	1
106342002	0	Computing machine operator (occupation)	XU1eD	J-34000	1
106343007	0	Bookkeeping/calculating machine operator (occupation)	XU1eE	J-34100	1
106351005	0	Receptionist/travel agency clerk (occupation)	XU1eL	J-39400	1
106541005	0	Worker (occupation)	XU1he	J-A0000	1
106544002	0	Family Enterobacteriaceae (organism)	X73JY	L-150F8	1
106574005	4	Kingdom Protista - subkingdom Protozoa (organism)	XU1hq	L-500F2	1
106575006	0	Phylum Zoomastigina (organism)	XU1hs	L-501F3	1
106576007	0	Order Kinetoplastida (organism)	XU1hu	L-501F7	1
106579000	0	Family Trypanosomatidae (organism)	XU1hy	L-504F9	1
106649002	0	Class Secernentea (organism)	XU1jL	L-551F5	1
106662003	0	Order Ascarida (organism)	XU1ja	L-562F7	1
106663008	0	Superfamily Ascaridoidea (organism)	XU1jb	L-562F9	1
106762008	0	Phylum arthropoda - arthropod (organism)	XU1lQ	L-600F1	1
106876000	0	Mollusk, jellyfish, sponge AND/OR echinoderm (organism)	XM0OH	L-700F1	1
106877009	0	Phylum Mollusca (organism)	Xa36X	L-700F3	1
106904002	2	Kingdom animalia - phylum chordata - chordate (organism)	XU1nb	L-800F1	1
106905001	5	Domestic animals (organism)	XU1nc	L-800F4	1
106906000	5	Domestic animal species, non-primate (organism)	XU1nd	L-810F9	1
107647005	0	Weight finding (finding)	XU20u	M-028F9	1
107658001	0	Mechanical abnormality (morphologic abnormality)	XU214	M-300F1	1
107666005	0	Fluid disturbance (morphologic abnormality)	XU217	M-360F8	1
107669003	0	Degenerative abnormality (morphologic abnormality)	XU218	M-500F1	1
107682006	0	Fibrosis AND/OR repair abnormality (morphologic abnormality)	XU21M	M-780F8	1
107733003	0	Introduction (procedure)	XU21b	P1-04FFF	0
107739004	0	Musculoskeletal system endoscopy (procedure)	XU21e	P1-107F9	0
107907001	0	Operative procedure on digestive system (procedure)	XU22d	P1-50010	0
107944001	0	Large intestine excision (procedure)	XU22u	P1-573F9	0
107957009	0	Operative procedure on digestive organ (procedure)	XU22y	P1-5A000	0
108021004	0	Operative procedure on male genitourinary system (procedure)	XU23Q	P1-70000	0
108034003	0	Urinary bladder excision (procedure)	XU23X	P1-743F9	0
108037005	0	Bladder destructive procedure (procedure)	XU23Z	P1-74CF9	0
108188006	0	Abdomen incision (procedure)	X813L	P1-B61F9	0
108189003	0	Abdomen excision (procedure)	XU24d	P1-B63F9	0
108191006	0	Abdomen endoscopy (procedure)	XU24g	P1-B67F9	0
108193009	0	Abdomen destructive procedure (procedure)	XU24i	P1-B6C00	0
108216008	0	Medical procedure AND/OR service (procedure)	XU24q	P2-00001	1
108217004	0	Interview, history AND/OR physical examination (procedure)	XU24r	P2-01200	0
108234007	4	Administration (procedure)	XU258	P2-450F8	1
108252007	0	Laboratory procedure (procedure)	XU25O	P3-00001	1
108272002	4	Radiology, radiotherapy, nuclear medicine AND/OR ultrasound procedure, technique AND/OR service (procedure)	XU25d	P5-00000	1
108273007	0	Radiographic imaging procedure by site (procedure)	XU25e	P5-100F1	0
108278003	2	Radiographic procedure on gastrointestinal tract (procedure)	XU25j	P5-500F7	1
108305003	0	Physical rehabilitation therapy procedure (regime/therapy)	XU264	P7-900F7	1
108324000	0	Specimen collection AND/OR ward laboratory procedure (procedure)	XU26N	PA-200F7	1
108327007	0	Home care AND/OR social service (navigational concept)	XU26Q	PA-630F8	1
108347004	1	Structure of nervous system organ AND/OR special sense organ (body structure)	XU26h	T-A00F1	1
108367008	0	Dislocation of joint (disorder)	XA0CY	D1-22340	0
108369006	0	Neoplasm (morphologic abnormality)	XU26z	M-8FFFF	1
108427008	0	Phosphorated carbohydrate solution (substance)	XU27r	C-85837	1
108627004	0	Nedocromil (product)	x01EJ	C-B7082	1
108629001	0	Nedocromil sodium (substance)	XU2Aj	C-B7083	1
108860003	0	Mast cell stabilizer (product)	XU2Do	C-51017	1
108896004	2	Antiallergic (product)	XU2EK	C-51016	1
108899006	0	Contraceptives (product)	XU2EN	C-B7100	1
108972005	0	Antiplatelet agent (product)	bu...	C-A6005	1
110282008	0	Drug-induced lesion (disorder)	XU2a1	DF-10600	1
110378009	0	Salmonella enterica (organism)	X73L4	L-17108	1
110392003	2	Mammal (organism)	X79pW	L-80020	1
110406006	0	Effect of surgery (morphologic abnormality)	XU2cH	M-18950	1
110481003	0	Voluntary body piercing (life style)	XU2de	S-30071	1
110634007	0	Right uterine adnexa (body structure)	XU2gT	T-88902	0
110635008	0	Left uterine adnexa (body structure)	XU2gU	T-88904	0
110904004	0	Accessory sinus cytologic material (specimen)	XU2lZ	T-EA514	0
110969006	0	Cerebrospinal fluid cytologic material (specimen)	XU2mj	T-EA579	1
111064005	0	Sulfur compound (substance)	XU2oB	C-10810	1
111139005	0	Inotropic agent (product)	x01Qj	C-80120	1
111227009	0	Ankylosis of joint (disorder)	N085.	D1-22380	0
111273006	0	Acute respiratory disease (disorder)	XU2qp	D2-00001	0
111438007	0	Hypertension secondary to renal disease in obstetric context (disorder)	XU2sh	D8-11190	1
111590001	0	Disorder of lymphoid system (disorder)	XU2uQ	DC-70000	0
111989001	0	Defecation (observable entity)	XC07K	F-54220	1
112113009	0	Steroid hormone (substance)	X80SL	F-B0200	1
112638000	0	Displacement (morphologic abnormality)	XC07Q	M-31000	1
112674009	0	Fibrosis (morphologic abnormality)	XU39V	M-78000	1
112697007	0	Operation on musculoskeletal system (procedure)	X6001	P1-10000	0
112698002	0	Operation on joint (procedure)	X604Q	P1-10002	0
112902005	0	Partial urinary cystectomy (procedure)	7B211	P1-74342	0
113192009	0	Skeletal system structure (body structure)	XS0Qb	T-11000	1
113193004	0	Structure of long bone (body structure)	XU3Fq	T-11016	1
113234001	0	Entire synovial joint (body structure)	XS02a	T-15050	1
113251008	0	Structure of left lower lobe anterior segmental bronchus (body structure)	XU3Gd	T-26720	1
113254000	0	Structure of interstitial tissue of lung (body structure)	XU3Gf	T-28780	1
113257007	0	Structure of cardiovascular system (body structure)	X74dF	T-30000	1
113262008	0	Thoracic aorta structure (body structure)	Xa1eJ	T-42070	1
113276009	0	Intestinal structure (body structure)	Xa1Fr	T-50500	1
113293009	0	Structure of left fallopian tube (body structure)	XU3HC	T-88020	0
113327001	0	Pinna structure (body structure)	Xa18J	T-AB105	1
113331007	0	Structure of endocrine system (body structure)	XM0QD	T-B00F1	1
113343008	0	Body organ structure (body structure)	XaF0T	T-D0060	1
113345001	0	Abdominal structure (body structure)	Xa1gd	T-D4000	1
114244009	4	Class Scotobacteria (organism)	XU3Vm	L-2F110	1
115070006	0	Family Pseudomonadaceae (organism)	XU3hb	L-2F151	1
115105004	0	Family Micrococcaceae (organism)	XU3iH	L-2F711	1
115107007	0	Family Streptococcaceae (organism)	XU3iJ	L-2F713	1
115166000	0	Kingdom Prokaryote (organism)	XU3jK	L-2F000	1
115167009	4	Division Gracilicutes (organism)	XU3jL	L-2F100	1
115172000	0	Subclass Gram-Negative Aerobic Rods (organism)	XU3jS	L-2F150	1
115173005	0	Subclass Facultatively Anaerobic Gram Negative Rods (organism)	XU3jT	L-2F160	1
115195009	0	Phylum Firmicutes (organism)	XU3jv	L-2F700	1
115196005	0	Subclass Gram Positive Cocci (organism)	XU3jw	L-2F710	1
115665000	0	Atopy (disorder)	XU3s3	F-C3101	1
115668003	0	Biological substance (substance)	XU3s4	C-300F2	1
115669006	0	Substance categorized by physical state (substance)	XU3s5	C-1000A	1
115986002	0	Domestic mammal (organism)	XU3xb	L-8002B	1
116003000	0	Structure of immune system (body structure)	XU9ED	T-C0103	1
116004006	0	Hollow viscus (body structure)	XU3xu	T-D0067	1
116005007	0	Parenchymatous viscus (body structure)	XU3xv	T-D0068	1
116032002	0	Transurethral excision from urinary tract (procedure)	XU3yM	P1-70014	0
116068007	0	Renal drug (product)	XU3yv	C-81000	1
116091006	2	Bronchodilator (product)	Xa7kI	C-88107	1
116147009	0	Cytologic test (procedure)	XU402	P3-45001	1
116154003	0	Patient (person)	XU40A	S-16000	1
116177003	0	Inhaled gas (substance)	XU40b	T-20440	1
116208002	0	Abscess of wound (morphologic abnormality)	XU414	M-41625	1
116223007	0	Complication (disorder)	XU41K	DD-60001	1
116249002	0	Gastrointestinal tract incision (procedure)	XU41l	P1-50510	0
116273005	0	Dietary substance (substance)	Xa4gS	C-F0002	1
116280007	0	Heterocyclic compound (substance)	XU427	C-10095	1
116307009	0	Finding of upper limb (finding)	Xa71M	F-17000	0
116308004	0	Finding of shoulder region (finding)	Xa71m	F-17002	0
116312005	0	Finding of lower limb (finding)	Xa79F	F-18008	0
116313000	0	Finding of hip region (finding)	Xa79P	F-18201	0
116314006	0	Finding of knee region (finding)	Xa7Av	F-18601	0
116315007	0	Finding of ankle region (finding)	Xa7Ce	F-18901	0
116338005	0	Pharyngeal finding (finding)	X76aH	F-51600	0
116367006	0	Psychological finding (finding)	XU43P	F-90009	1
116370005	0	Skin structure of extremity (body structure)	XU43T	T-025FF	1
116566001	0	Steroid (substance)	XU46c	C-10098	1
116567005	0	Synthetic steroid (substance)	XU46d	C-37100	1
116569008	0	Synthetic glucocorticoid (substance)	XU46f	C-37110	1
116571008	0	Betamethasone (substance)	XU46i	C-37112	1
116596006	0	Glucocorticoid preparation (product)	XU479	C-A010F	1
116607003	0	Synthetic glucocorticoid, fluorinated (substance)	XU47L	C-37109	1
116676008	0	Associated morphology (attribute)	X75Pz	G-C504	1
116677004	0	Associated topography (attribute)	X9019	G-C505	1
116680003	0	Is a (attribute)	XU48G	G-C509	1
116686009	0	Has specimen (attribute)	XU48N	G-C50E	1
117590005	0	Ear structure (body structure)	Xa05g	T-AB001	1
118155006	0	Gastrointestinal tract endoscopy (procedure)	X20TU	P1-50570	0
118168003	0	Specimen source morphology (attribute)	XU4ZD	G-C525	1
118169006	0	Specimen source topography (attribute)	XU4ZE	G-C526	1
118170007	0	Specimen source identity (attribute)	XU4ZF	G-C527	1
118171006	0	Specimen procedure (attribute)	XU4ZG	G-C528	1
118185001	0	Pregnancy finding (finding)	X40Au	F-84003	1
118199002	0	Finding relating to sexuality and sexual activity (finding)	X7672	F-9B003	1
118222006	0	General finding of observation of patient (finding)	Xa1bt	F-01002	1
118225008	4	Context-dependent finding (finding)	XU4Zw	F-01007	1
118227000	0	Vital signs finding (finding)	XU4Zx	F-03403	1
118228005	0	Functional finding (finding)	Xa6bP	F-01003	1
118232004	0	Reproductive finding (finding)	XU4a0	F-80001	1
118234003	0	Finding by site (finding)	XU4a2	F-01004	0
118237005	0	Nose finding (finding)	XU4a4	F-01063	0
118238000	0	Urogenital finding (finding)	Xa7WN	F-70001	0
118240005	0	Finding by method (finding)	XU4a6	F-01005	0
118246004	0	Laboratory test finding (finding)	X76sW	F-01076	0
118254002	0	Finding of head and neck region (finding)	Xa6v8	F-01060	0
118292001	0	Removal (procedure)	XaG1U	P1-03003	0
118435004	0	Finding of small intestine (finding)	Xa7Tq	F-53001	0
118436003	0	Finding of large intestine (finding)	Xa7Tt	F-54001	0
118442004	0	Drainage of abscess (procedure)	Xa1pi	P1-01015	0
118628001	4	Education (regime/therapy)	Ua04P	P0-A0200	1
118629009	0	Functional training (procedure)	Xa0iH	P0-A0201	1
118630004	0	Division (procedure)	XU4fk	P1-01027	0
118633002	0	Artery of thorax (body structure)	XU4fo	T-46001	1
118634008	0	Structure of artery of abdomen (body structure)	XU4fp	T-46002	1
118652008	0	Crypt of Lieberkühn (body structure)	XU4g7	T-58049	1
118655005	0	Body part subdivision (body structure)	XU4gA	T-D0012	1
118663006	0	Implantation of prosthetic device (procedure)	XU4gE	P1-05509	0
118664000	0	Procedure on body system (procedure)	XU4gF	P0-05001	0
118666003	0	Procedure on musculoskeletal system (procedure)	XU4gH	P0-05003	0
118668002	0	Procedure on articular system (procedure)	XU4gJ	P0-05006	0
118672003	0	Procedure on cardiovascular system (procedure)	XU4gO	P0-05010	0
118673008	0	Procedure on digestive system (procedure)	X20TS	P0-05011	0
118674002	0	Procedure on genitourinary system (procedure)	XU4gP	P0-05012	0
118676000	0	Procedure on male genital system (procedure)	XU4gT	P0-05014	0
118677009	0	Procedure on urinary system (procedure)	XU4gU	P0-05015	0
118689006	0	Procedure on body part (procedure)	XU4gh	P0-05027	0
118694006	0	Procedure on trunk (procedure)	XU4gn	P0-05032	0
118695007	0	Procedure on thorax (procedure)	XU4go	P0-05033	0
118696008	0	Procedure on mediastinum (procedure)	XU4gp	P0-05034	0
118698009	0	Procedure on abdomen (procedure)	XS8pG	P0-05036	0
118699001	0	Procedure on pelvis (procedure)	XS8pH	P0-05037	0
118717007	0	Procedure on organ (procedure)	XU4h9	P0-05055	0
118727001	2	Procedure on bony skeleton (procedure)	XU4hK	P0-05065	1
118738001	0	Procedure on soft tissue (procedure)	XU4hX	P0-05076	0
118745001	0	Procedure on joint (procedure)	XU4hf	P0-05083	0
118760003	0	Entire viscus (body structure)	XU4hw	T-D0066	1
118762006	0	Peritoneal sac structure (body structure)	XU4hy	T-D4426	1
118797008	0	Procedure on heart (procedure)	XU4id	P0-05128	0
118804001	0	Procedure on blood vessel (procedure)	XU4im	P0-05136	0
118821005	0	Procedure on digestive organ (procedure)	XU4j2	P0-05161	0
118823008	0	Procedure on gallbladder (procedure)	XU4j4	P0-05163	0
118824002	0	Procedure on biliary tract (procedure)	XU4j5	P0-05164	0
118826000	0	Procedure on digestive tract (procedure)	XU4j7	P0-05166	0
118828004	4	Procedure on gastrointestinal tract (procedure)	XU4j9	P0-05168	1
118831003	0	Procedure on intestine (procedure)	XS8pq	P0-05171	0
118837004	0	Procedure on appendix (procedure)	XU4jJ	P0-05177	0
118838009	0	Procedure on large intestine (procedure)	XU4jK	P0-05178	0
118839001	0	Procedure on colon (procedure)	XU4jL	P0-05179	0
118846005	0	Procedure on peritoneum (procedure)	XU4jS	P0-05186	1
118851004	0	Procedure on kidney (procedure)	XU4jX	P0-05191	0
118855008	0	Procedure on bladder (procedure)	7B2..	P0-05195	0
118856009	0	Procedure on urethra (procedure)	XU4ja	P0-05197	0
118877007	0	Procedure on prostate (procedure)	XU4jt	P0-05219	0
118927008	0	Thrombotic disorder (disorder)	XU4ki	D3-80515	0
118930001	0	Disorder of face (disorder)	XU4kl	DF-00806	0
118934005	0	Disorder of head (disorder)	XU4kp	DF-00805	0
118935006	0	Disorder of hip region (disorder)	XU4kq	DF-00810	0
118937003	0	Disorder of lower extremity (disorder)	XU4ks	DF-00820	0
118943001	0	Disorder of pelvic region (disorder)	XU4kw	DF-00814	0
118944007	0	Disorder of shoulder region (disorder)	XU4kx	DF-00808	0
118946009	0	Disorder of thorax (disorder)	XU4kz	DF-00811	0
118947000	0	Disorder of upper extremity (disorder)	XU4l0	DF-00817	0
118948005	0	Disorder of abdomen (disorder)	XU4l1	DF-00812	0
118952005	0	Joint finding (finding)	X76qj	F-13001	0
118953000	0	Bone finding (finding)	X76qG	F-12001	0
118954006	0	Cartilage finding (finding)	XU4l6	F-12901	0
118956008	0	Body structure, altered from its original anatomical structure (morphologic abnormality)	XU4l9	M-01001	1
118959001	0	Removal from urinary tract (procedure)	XU4lB	P1-70011	1
