DESCRIPTIONID	DESCRIPTIONSTATUS	CONCEPTID	TERM	INITIALCAPITALSTATUS	DESCRIPTIONTYPE	LANGUAGECODE
137404018	1	82832008	General body state, NOS	0	2	en
137429012	0	82849001	Retroperitoneum	0	2	en
137430019	1	82849001	Retroperitoneum, NOS	0	2	en
137431015	1	82849001	Retroperitoneal space, NOS	0	2	en
137432010	0	82849001	Retroperitoneal space	0	2	en
137467010	0	82874003	Operation on colon	0	1	en
137468017	1	82874003	Operation on colon, NOS	0	2	en
137613010	0	82968002	Mouse	0	1	en
137614016	1	82968002	Mouse, NOS	0	2	en
137744014	0	83045001	Cocci	0	1	en
137763010	0	83059008	Tube	0	1	en
137764016	1	83059008	Tube, NOS	0	2	en
138003017	0	83208000	Exposure to mechanical force	0	1	en
138004011	1	83208000	Exposure to mechanical force, NOS	0	2	en
138763012	0	83670000	Peritoneal cavity	0	2	en
138764018	1	83670000	Peritoneal cavity, NOS	0	2	en
138765017	0	83670000	Greater peritoneal cavity	0	2	en
139143018	0	83908009	Abdominal wall	0	2	en
139144012	1	83908009	Abdominal wall, NOS	0	2	en
139475013	0	84114007	Heart failure	0	1	en
139476014	1	84114007	Heart failure, NOS	0	2	en
139477017	1	84114007	Myocardial failure, NOS	0	2	en
139478010	1	84114007	Weak heart, NOS	0	2	en
139479019	1	84114007	Cardiac failure, NOS	0	2	en
139480016	0	84114007	Myocardial failure	0	2	en
139481017	0	84114007	Weak heart	0	2	en
139482012	0	84114007	Cardiac failure	0	2	en
139980013	1	84410009	Disease of digestive tract	0	2	en
139981012	1	84410009	Disease of digestive tract, NOS	0	2	en
139982017	1	84410009	Gastrointestinal disorder, NOS	0	2	en
139983010	1	84410009	Disorder of gastrointestinal tract, NOS	0	2	en
140020017	0	84439009	Skin antibiotic	0	1	en
140021018	1	84439009	Skin antibiotic, NOS	0	2	en
140322015	0	84635008	Disease process or condition education	0	1	en
141107013	0	85107002	Calculating machine operator	0	1	en
141235016	0	85189001	Acute appendicitis	0	1	en
141236015	1	85189001	Acute appendicitis, NOS	0	2	en
141303019	0	85232009	Left heart failure	0	1	en
141304013	1	85232009	Acute edema of lung with heart disease	0	2	en
141305014	1	85232009	Acute pulmonary edema with heart disease	0	2	en
141306010	0	85232009	Left ventricular failure	0	2	en
141392018	0	85293002	Interstitial tissue	0	1	en
141393011	1	85293002	Interstitial tissue, NOS	0	2	en
141580019	0	85417000	Autonomic drug	0	1	en
141581015	1	85417000	Autonomic drug, NOS	0	2	en
141588014	0	85421007	Right side of body	0	2	en
141775013	0	85537004	Humeroscapular joint	1	2	en
142150018	0	85756007	Body tissue	0	2	en
142151019	1	85756007	Body tissue, NOS	0	2	en
142152014	1	85756007	Tissue, NOS	0	2	en
142153016	0	85756007	Tissue	0	2	en
142172016	0	85769006	Streptococcal infectious disease	0	1	en
142173014	1	85769006	Streptococcal infectious disease, NOS	0	2	en
142174015	0	85769006	Streptococcosis	0	2	en
142175019	1	85769006	Streptococcal infection, NOS	0	2	en
142176018	0	85769006	Streptococcal infection	0	2	en
142433011	1	85919009	Disease of intestine	0	2	en
142434017	1	85919009	Disease of intestine, NOS	0	2	en
142435016	1	85919009	Enteropathy, NOS	0	2	en
142436015	0	85919009	Enteropathy	0	2	en
142438019	0	85921004	Puncture procedure	0	1	en
142439010	1	85921004	Puncture procedure, NOS	0	2	en
142440012	1	85921004	Piercing procedure, NOS	0	2	en
142441011	1	85921004	Perforation procedure, NOS	0	2	en
142442016	0	85921004	Piercing procedure	0	2	en
142443014	0	85921004	Perforation procedure	0	2	en
142444015	1	85921004	Piercing, NOS	0	2	en
142445019	1	85921004	Perforation, NOS	0	2	en
142446018	1	85921004	Puncture, NOS	0	2	en
142662018	0	86049000	Neoplasm, malignant	0	2	en
142663011	0	86049000	Blastoma	0	2	en
142664017	1	86049000	Tumor, malignant, NOS	0	2	en
142665016	0	86049000	Malignancy	0	2	en
142666015	0	86049000	Cancer	0	2	en
142667012	0	86049000	Unclassified tumor, malignant	0	2	en-US
142668019	1	86049000	Blastoma, NOS	0	2	en
142669010	0	86049000	Tumour, malignant	0	2	en-GB
142670011	0	86049000	Tumor, malignant	0	2	en-US
142747014	0	86088003	Centesis	0	1	en
142748016	1	86088003	Centesis, NOS	0	2	en
142749012	0	86088003	Paracentesis	0	2	en
142750012	0	86088003	Puncture and aspiration	0	2	en
142751011	0	86088003	Puncture and drainage	0	2	en
142752016	0	86088003	Needling and drainage	0	2	en
142753014	0	86088003	Tap	0	2	en
143076014	0	86273004	Biopsy	0	1	en
143077017	1	86273004	Biopsy, NOS	0	2	en
143137011	0	86308005	Sympathomimetic agent	0	1	en
143138018	1	86308005	Sympathomimetic agent, NOS	0	2	en
143139014	1	86308005	Adrenergic agent, NOS	0	2	en
143140011	0	86308005	Adrenergic agent	0	2	en
143288017	0	86406008	Human immunodeficiency virus infection	0	1	en
143289013	1	86406008	Human immunodeficiency virus infection, NOS	0	2	en
143290016	0	86406008	HIV infection	1	2	en
143465016	0	86508006	High humidity	0	1	en
143604010	0	86598002	Apex of lung	0	2	en
143605011	1	86598002	Apex of lung, NOS	0	2	en
143885010	0	86762007	Digestive system	0	2	en
143886011	1	86762007	Digestive system, NOS	0	2	en
144231012	0	86967005	Tool	0	1	en
144232017	1	86967005	Tool, NOS	0	2	en
144550011	0	87172008	Gram-negative bacillus	1	1	en
144725010	0	87279008	Excision of lesion of colon	0	1	en
144726011	1	87279008	Excision of lesion of colon, NOS	0	2	en
144728012	0	87281005	Death from overwork	0	1	en
144729016	0	87281005	Karoshi	1	2	en
145174012	0	87568004	Hormone	0	1	en
145175013	1	87568004	Hormone, NOS	0	2	en
145176014	1	87568004	Endocrine substance, NOS	0	2	en
145177017	0	87568004	Endocrine substance	0	2	en
145291019	0	87628006	Bacterial infectious disease	0	1	en
145292014	1	87628006	Bacterial infectious disease, NOS	0	2	en
145293016	1	87628006	Disease caused by bacteria, NOS	0	2	en
145294010	1	87628006	Bacterial infection, NOS	0	2	en
145295011	0	87628006	Disease caused by bacteria	0	2	en
145296012	0	87628006	Bacterial infection	0	2	en
145320014	0	87642003	Dislocation	0	1	en
145321013	1	87642003	Dislocation, NOS	0	2	en
145502016	0	87759004	Female internal genitalia	0	2	en
145503014	1	87759004	Female internal genitalia, NOS	0	2	en
145504015	1	87759004	Female pelvic organs, NOS	0	2	en
145505019	0	87759004	Female pelvic organs	0	2	en
145541019	0	87784001	Soft tissues	0	1	en
145542014	1	87784001	Soft tissues, NOS	0	2	en
145651014	0	87858002	Drug-related disorder	0	1	en
145652019	1	87858002	Drug-related disorder, NOS	0	2	en
145688012	0	87878005	Left ventricle	0	2	en
145689016	1	87878005	Left ventricle, NOS	0	2	en
145797019	0	87953007	Ureter	0	2	en
145798012	1	87953007	Ureter, NOS	0	2	en
146079014	1	88111009	Abnormal bowel habits	0	2	en
146080012	0	88111009	Altered bowel habits	0	2	en
146269016	1	88230002	Disease of skeletal system	0	2	en
146270015	1	88230002	Disease of skeletal system, NOS	0	2	en
146271016	1	88230002	Osteoarthropathy, NOS	0	2	en
146272011	1	88230002	Disease of bone and joint, NOS	0	2	en
146273018	1	88230002	Disorder of skeletal system, NOS	0	2	en
146274012	0	88230002	Disease of bone AND/OR joint	0	2	en
146275013	0	88230002	Osteoarthropathy	0	2	en
146277017	0	88230002	Disorder of skeletal system	0	1	en
147364017	0	88878007	Protein	0	1	en
147365016	1	88878007	Protein, NOS	0	2	en
147453016	0	88928006	Synovial tissue of joint	0	2	en
147454010	1	88928006	Synovial tissue of joint, NOS	0	2	en
147455011	1	88928006	Synovium of joint, NOS	0	2	en
147456012	0	88928006	Synovium of joint	0	2	en
147887015	0	89187006	Airway	0	2	en
147888013	1	89187006	Airway, NOS	0	2	en
147889017	0	89187006	Respiratory airway	0	2	en
148099011	0	89309003	Organic sulfur compound	0	1	en-US
148100015	1	89309003	Organic sulfur compound, NOS	0	2	en
148464015	0	89545001	Face	0	2	en
148465019	1	89545001	Face, NOS	0	2	en
148535010	0	89587004	Removal of foreign body from abdominal cavity	0	1	en
148924010	0	89837001	Urinary bladder	0	2	en
148925011	1	89837001	Urinary bladder, NOS	0	2	en
148926012	1	89837001	Bladder, NOS	0	2	en
148927015	0	89837001	Bladder	0	2	en
149399012	0	90131007	Arthrocentesis	0	1	en
149400017	1	90131007	Arthrocentesis, NOS	0	2	en
149401018	1	90131007	Aspiration of joint, NOS	0	2	en
149402013	1	90131007	Puncture of joint, NOS	0	2	en
149403015	1	90131007	Tap of joint, NOS	0	2	en
149404014	0	90131007	Puncture of joint	0	2	en
149405010	0	90131007	Tap of joint	0	2	en
149406011	0	90131007	Aspiration of joint	0	2	en
149617016	0	90264002	Male genital system	0	2	en
149618014	1	90264002	Male genital system, NOS	0	2	en
149619018	1	90264002	Male genital organs, NOS	0	2	en
149620012	0	90264002	Male genital organs	0	2	en
149729019	1	90332006	Acetaminophen	0	2	en
149730012	1	90332006	Paracetamol	0	2	en
149840015	0	90412006	Colonoscope	0	1	en
150106016	0	90572001	Lower lobe of lung	0	2	en
150107013	1	90572001	Lower lobe of lung, NOS	0	2	en
150315015	0	90708001	Kidney disease	0	1	en
150316019	0	90708001	Renal disorder	0	2	en
150317011	1	90708001	Kidney disease, NOS	0	2	en
150318018	1	90708001	Nephropathy, NOS	0	2	en
150319014	1	90708001	Renal disease, NOS	0	2	en
150320015	1	90708001	Nephrosis, NOS	0	2	en
150321016	1	90708001	Renal disorder, NOS	0	2	en
150322011	0	90708001	Nephropathy	0	2	en
150323018	0	90708001	Renal disease	0	2	en
150324012	0	90708001	Nephrosis	0	2	en
150360019	0	90734009	Chronic	0	1	en
150433013	1	90780006	Bone, NOS	0	2	en
150498018	0	90821003	Complication related to pregnancy	0	1	en
150499014	1	90821003	Complication related to pregnancy, NOS	0	2	en
150500017	1	90821003	Complicated pregnancy, NOS	0	2	en
150501018	0	90821003	Complicated pregnancy	0	2	en
151053010	0	91159003	Auditory system	0	2	en
151074011	0	91175000	Seizure	0	1	en
151075012	1	91175000	Seizure, NOS	0	2	en
151076013	1	91175000	Fit, NOS	0	2	en
151077016	0	91175000	Fit	0	2	en
151194017	0	91251008	Physical therapy procedure	0	1	en
151195016	1	91251008	Physical therapy procedure, NOS	0	2	en
151196015	1	91251008	Physiotherapy procedure, NOS	0	2	en
151197012	1	91251008	Physiotherapy, NOS	0	2	en
151198019	0	91251008	Physiotherapy procedure	0	2	en
151199010	0	91251008	Physiotherapy	0	2	en
151907017	0	91689009	Organ system	0	2	en
151908010	0	91690000	Organ system subdivision	0	2	en
151944017	0	91717005	Organ part	0	1	en
151947012	0	91720002	Body substance	0	1	en
151948019	0	91721003	Anatomical spatial entity	0	1	en
151949010	0	91722005	Physical anatomical entity	0	1	en
151950010	0	91723000	Anatomical structure	0	1	en
151951014	0	91724006	Tracheobronchial tree	0	2	en
151952019	0	91725007	Serous sac	0	2	en
151953012	1	91725007	Serous sac, NOS	0	2	en
151979015	0	91744000	Cardiac chamber	0	2	en
151980017	1	91744000	Cardiac chamber, NOS	0	2	en
152079015	0	91805003	Anatomical feature	0	1	en
152080017	0	91806002	Body cavity	0	2	en
152081018	0	91807006	Body cavity subdivision	0	2	en
152082013	0	91808001	Organ cavity	0	2	en
152083015	0	91809009	Serous cavity	0	2	en
152084014	0	91810004	Cavity of serous sac	0	2	en
152087019	0	91813002	External anatomical feature	0	1	en
152088012	1	91813002	External anatomical feature, NOS	0	2	en
152092017	0	91817001	Apex (external anatomical feature)	0	1	en
152094016	0	91819003	Base (external anatomical feature)	0	1	en
152105011	0	91830000	Body conduit	0	2	en
152146018	0	91854005	Acute leukemia in remission	0	1	en-US
152148017	1	91854005	Acute leukemia, NOS, in remission	0	2	en
152149013	0	91855006	Acute leukemia	0	1	en-US
152151012	1	91855006	Acute leukemia, NOS, without mention of remission	0	2	en
152155015	0	91858008	Acute monocytic leukemia in remission	0	1	en-US
152158018	0	91860005	Acute myeloid leukemia in remission	0	1	en-US
152159014	0	91861009	Acute myeloid leukemia	0	2	en-US
152160016	1	91861009	Acute myeloid leukemia without mention of remission	0	2	en
154093014	0	93142004	Leukaemia in remission	0	1	en-GB
154094015	0	93142004	Leukemia in remission	0	1	en-US
154096018	1	93142004	Leukemia, NOS, in remission	0	2	en
154097010	1	93142004	Leukaemia, NOS, in remission	0	2	en
154099013	0	93143009	Leukaemia	0	1	en-GB
154100017	0	93143009	Leukemia	0	1	en-US
154102013	1	93143009	Leukemia, NOS, without mention of remission	0	2	en
154103015	1	93143009	Leukaemia, NOS, without mention of remission	0	2	en
154654016	0	93432008	Drug-induced asthma	0	1	en
154655015	1	93432008	Drug-induced asthma, NOS	0	2	en
155140018	1	93720005	Malignant neoplasm of bone marrow	0	2	en
155141019	1	93720005	Malignant neoplasm of bone marrow, NOS	0	2	en
157084017	0	94716000	Myeloid leukemia in remission	0	1	en-US
157086015	1	94716000	Myeloid leukemia, NOS, in remission	0	2	en
158086018	1	95436008	Consolidation of lung	0	2	en
158087010	1	95436008	Consolidation of lung, NOS	0	2	en
158847016	0	95896000	Protozoosis	0	2	en
158848014	1	95896000	Protozoosis, NOS	0	2	en
158849018	1	95896000	Protozoiasis, NOS	0	2	en
158850018	0	95896000	Protozoiasis	0	2	en
159489013	0	96367001	Human insulin	0	1	en
159490016	1	96367001	Human insulin, NOS	0	2	en
165878016	0	102572006	Edema of lower extremity	0	1	en-US
165882019	0	102574007	Edema of leg	0	1	en-US
166329014	0	102905003	Absence of guilt	0	1	en
166330016	0	102905003	Lack of guilt feelings	0	2	en
166386016	0	102932008	Fear of hypertension	0	1	en
166419015	0	102957003	Neurological finding	0	1	en
166421013	1	102957003	Neurological sign or symptom, NOS	0	2	en
166422018	1	102957003	Neurological findings, NOS	0	2	en
166423011	0	102957003	Neurological findings	0	2	en
166978013	0	103379005	Procedural approach	0	1	en
166979017	1	103379005	Procedural approach, NOS	0	2	en
167311013	0	103613006	Needle track	0	1	en
167329015	0	103626005	Diffuse inflammation	0	1	en
167453013	0	103693007	Diagnostic procedure	0	1	en
167454019	1	103693007	Diagnostic procedure, NOS	0	2	en
167477019	0	103708000	Diagnostic surgical procedure	0	1	en
167478012	1	103708000	Diagnostic surgical procedure, NOS	0	2	en
167486012	0	103713001	Replacement of catheter	0	1	en
167487015	0	103713001	Catheter replacement	0	2	en
167489017	0	103715008	Removal of catheter	0	1	en
167494017	0	103718005	Removal of stent	0	1	en
167495016	0	103718005	Stent removal	0	2	en
167496015	0	103719002	Replacement of stent	0	1	en
167497012	0	103719002	Stent replacement	0	2	en
169485017	0	105427007	Divorced parents	0	1	en
169486016	1	105427007	Divorced parents, NOS	0	2	en
169488015	0	105429005	Elderly parents	0	1	en
169571013	0	105490003	Overwork	0	1	en
169710016	0	105590001	Substance	0	1	en
169727012	0	105606008	Injury of musculoskeletal system	0	1	en
169737019	0	105616000	Open wound of limb	0	1	en
169756012	0	105635000	Disease due to Retroviridae	0	1	en
169776018	0	105655004	Disease due to Trypanosomatidae	0	1	en
170082019	1	115070006	Family pseudomonadaceae	0	2	en
170125017	1	115107007	Family streptococcaceae	0	2	en
170196010	0	105785002	Adhesive, bandage AND/OR suture	0	1	en
170199015	0	105788000	Probe, sound, bougie AND/OR airway	0	1	en
170200017	0	105789008	Cannula, tube AND/OR catheter	0	1	en
170205010	0	105794008	Scope AND/OR camera	0	1	en
170210014	0	105799003	Household device	0	1	en
170212018	0	105800004	Home AND/OR farm machine AND/OR tool	0	1	en
170231012	0	105818001	Sulfur AND/OR sulfur compound	0	1	en-US
170319013	0	105904009	Type of drug preparation	0	1	en
170388012	1	105969002	Disease of connective tissues	0	2	en
170400019	0	105981003	Functional cardiac disorder	0	2	en
170424010	0	106005003	Hypertension AND/OR vomiting complicating pregnancy childbirth AND/OR puerperium	0	1	en
170447011	1	106028002	Musculoskeletal system finding	0	2	en
170448018	0	106029005	Musculoskeletal function	0	1	en
170467019	1	106048009	Respiratory system finding	0	2	en
170484013	1	106063007	Cardiovascular system finding	0	2	en
170485014	0	106064001	Cardiovascular pressure AND/OR pulse finding	0	1	en
170524012	0	106098005	Urinary system finding	0	1	en
170553013	1	106126000	Emotion finding	0	2	en
170574014	0	106147001	Sensory nervous system finding	0	1	en
170575010	0	106148006	Sensory function	0	1	en
170608018	0	106181007	Immunologic substance	0	1	en
170610016	0	106182000	Immune system finding	0	1	en
170630017	0	106200001	Hematopoietic system finding	0	1	en-US
170662019	0	106232001	Adjectival modifier	0	1	en
170663012	0	106233006	Topographical modifier	0	1	en
170664018	0	106234000	General adjectival modifier	0	1	en
170667013	0	106237007	Linkage concept	0	1	en
170669011	0	106239005	Modifier mainly for procedure	0	1	en
170765014	0	106335002	Clerical AND/OR related worker	0	1	en
170772010	0	106342002	Computing machine operator	0	1	en
170773017	0	106343007	Bookkeeping AND/OR calculating machine operator	0	1	en
170782011	0	106351005	Receptionist AND/OR travel agency clerk	0	1	en
170973011	0	106541005	Worker	0	1	en
170976015	0	106544002	Enterobacteriaceae	1	1	en
171007019	0	106575006	Phylum Zoomastigina	1	1	en
171008012	0	106576007	Order Kinetoplastida	1	1	en
171011013	0	106579000	Family Trypanosomatidae	1	1	en
171081015	1	106649002	Class secernentea	0	2	en
171094018	1	106662003	Order ascarida	0	2	en
171095017	1	106663008	Superfamily ascaridoidea	0	2	en
171194016	0	106762008	Phylum arthropoda - arthropod	1	2	en
171310017	0	106876000	Mollusk, jellyfish, sponge AND/OR echinoderm	1	1	en
171311018	1	106877009	Kingdom animalia - phylum mollusca	1	2	en
172094015	0	107658001	Mechanical abnormality	0	1	en
172102013	0	107666005	Fluid disturbance	0	1	en
172119010	0	107682006	Fibrosis AND/OR repair abnormality	0	1	en
172346011	0	107907001	Operative procedure on digestive system	0	1	en
172383011	0	107944001	Large intestine excision	0	1	en
172396012	0	107957009	Operative procedure on digestive organ	0	1	en
172473013	0	108034003	Bladder excision	0	1	en
172476017	0	108037005	Bladder destructive procedure	0	1	en
172627019	0	108188006	Abdomen incision	0	1	en
172628012	0	108189003	Abdomen excision	0	1	en
172632018	0	108193009	Abdomen destructive procedure	0	1	en
172656019	0	108217004	Interview, history AND/OR physical examination	0	1	en
172691010	0	108252007	Laboratory procedure	0	1	en
172744011	0	108305003	Physical rehabilitation therapy procedure	0	1	en
172766016	0	108327007	Home care AND/OR social service	0	1	en
172807017	0	108367008	Dislocation of joint	0	1	en
172809019	0	108369006	Tumor	0	2	en-US
172811011	0	108369006	Neoplasm	0	1	en
172854018	0	115166000	Kingdom Procaryote	1	2	en
172860018	0	115172000	Subclass Gram-Negative Aerobic Rods	1	1	en
172861019	0	115173005	Subclass Facultatively Anaerobic Gram Negative Rods	1	1	en
172883015	1	115195009	Division Firmicutes	1	2	en
172884014	0	115196005	Subclass Gram Positive Cocci	1	1	en
172961015	0	108427008	Phosphorated carbohydrate solution	0	1	en
173161014	0	108627004	Nedocromil	1	1	en
173163012	0	108629001	Nedocromil sodium	1	1	en
173394015	0	108860003	Mast cell stabilizer	0	1	en-US
173433011	0	108899006	Contraceptives	0	1	en
175180014	0	110378009	Salmonella enterica	1	1	en
175222014	0	110406006	Effect of surgery	0	1	en
175223016	0	110406006	Morphological result of surgery	0	2	en
175224010	0	110406006	Anatomic result of surgery	0	2	en
175323019	0	110481003	Voluntary body piercing	0	1	en
175503016	0	110634007	Right uterine adnexa	0	1	en
175504010	0	110635008	Left uterine adnexa	0	1	en
175806019	0	110902000	Upper respiratory tract cytologic material	0	1	en
175808018	0	110904004	Accessory sinus cytologic material	0	1	en
175875019	0	110969006	Cerebrospinal fluid cytologic material	0	1	en
176452010	1	118292001	Removal Procedure	0	2	en
176720011	1	118436003	Large bowel finding	0	2	en
176732010	0	122461007	Evacuation	0	2	en
176733017	0	122461007	Evacuation procedure	0	1	en
176734011	0	122462000	Drainage	0	2	en
176735012	0	122462000	Drainage procedure	0	1	en
177086019	0	115669006	Substance categorized by physical state	0	1	en-US
177088018	0	116280007	Heterocyclic compound	0	1	en
177091018	0	116566001	Steroid	0	1	en
177104015	0	111064005	Sulfur compound	0	1	en-US
177204012	0	115668003	Biological substance	0	1	en
177219013	0	116567005	Synthetic steroid	0	1	en
177220019	0	116607003	Synthetic glucocorticoid, fluorinated	0	1	en
177221015	0	116569008	Synthetic glucocorticoid	0	1	en
177223017	0	116571008	Betamethasone	0	1	en
177424013	0	116596006	Glucocorticoid preparation	0	1	en
178413014	0	116273005	Dietary substance	0	1	en
178449010	0	111227009	Ankylosis of joint	0	1	en
178492017	0	111273006	Acute respiratory disease	0	1	en
178575011	1	119292006	Disease of gastrointestinal tract	0	2	en
178576012	1	119291004	Disease of upper gastrointestinal tract	0	2	en
178589018	1	119523007	Disease of large intestine	0	2	en
178680012	0	111438007	Hypertension secondary to renal disease in obstetric context	0	1	en
178827011	0	123005000	Part of	0	1	en
178923014	0	116223007	Complication	0	1	en
179060018	0	17322007	Disease caused by parasite	0	1	en
179085010	0	64572001	Disease	0	1	en
179097011	1	118944007	Disease of shoulder	0	2	en
179099014	1	118935006	Disease of hip	0	2	en
179100018	1	118946009	Disease of thorax	0	2	en
179101019	1	118948005	Disease of abdomen	0	2	en
179103016	1	118943001	Disease of pelvis	0	2	en
179106012	1	118947000	Disease of upper extremity	0	2	en
179109017	1	118937003	Disease of lower extremity	0	2	en
179110010	1	118932009	Disease of foot	0	2	en
179119011	1	118222006	General patient finding	0	2	en
179120017	1	118228005	Finding by function	0	2	en
179121018	0	118234003	Finding by site	0	1	en
179122013	0	118240005	Finding by method	0	1	en
179127019	1	118254002	Head and neck finding	0	2	en
179144015	0	118227000	Vital signs finding	0	1	en
179157011	0	118953000	Bone finding	0	1	en
179161017	0	118952005	Joint finding	0	1	en
179169015	1	116307009	Upper extremity finding	0	2	en
179171015	1	116308004	Shoulder finding	0	2	en
179180015	1	116312005	Lower extremity finding	0	2	en
179181016	1	116313000	Hip region finding	0	2	en
179183018	1	116314006	Knee region finding	0	2	en
179184012	1	116315007	Ankle region finding	0	2	en
179185013	1	116316008	Foot finding	0	2	en
179235012	1	119415007	Abdominal finding	0	2	en
179242012	0	116338005	Pharyngeal finding	0	1	en
179508016	1	118238000	Genitourinary system finding	0	2	en
179522016	0	118232004	Reproductive finding	0	1	en
179523014	0	118255001	Reproductive function	0	1	en
179529013	0	118185001	Finding related to pregnancy	0	1	en
179555014	0	116367006	Psychological finding	0	1	en
179575017	0	118199002	Sexual finding	0	2	en
180847012	8	119330002	Bone specimen	0	1	en
180881018	0	122580007	Cerumen specimen	0	1	en
180910013	0	119365002	Specimen from wound	0	1	en
180911012	0	119366001	Specimen from wound abscess	0	1	en
180917011	0	119371008	Specimen from abscess	0	1	en
180924012	0	119376003	Tissue specimen	0	1	en
180995016	0	119383005	Specimen from liver	0	1	en
181082016	0	119389009	Specimen from throat	0	1	en
181109012	0	116676008	Associated morphology	0	1	en
181114011	0	116680003	Is a	0	1	en
181140017	0	118168003	Specimen source morphology	0	1	en
181141018	0	118169006	Specimen source topography	0	1	en
181143015	0	118171006	Specimen procedure	0	1	en
183120017	0	115986002	Domestic mammal	0	1	en
183259019	0	118956008	Morphologically altered structure	0	1	en
183287011	0	112638000	Displacement	0	1	en
183300012	0	4532008	Acute inflammation	0	1	en
183302016	0	116208002	Abscess of wound	0	1	en
183351018	0	119270007	Management procedure	0	1	en
183355010	0	118664000	Procedure on organ system	0	2	en
183357019	0	118666003	Procedure on musculoskeletal system	0	1	en
183360014	0	118668002	Procedure on articular system	0	1	en
183364017	0	118672003	Procedure on cardiovascular system	0	1	en
183365016	0	118673008	Procedure on digestive system	0	1	en
183366015	0	118674002	Procedure on genitourinary system	0	1	en
183368019	0	118676000	Procedure on male genital system	0	1	en
183369010	0	118677009	Procedure on urinary system	0	1	en
183381014	8	118689006	Procedure on body part	0	1	en
183386016	0	118694006	Procedure on trunk	0	1	en
183390019	0	118698009	Procedure on abdomen	0	1	en
183391015	0	118699001	Procedure on pelvis	0	1	en
183409014	0	118717007	Procedure on organ	0	1	en
183437019	0	118745001	Procedure on joint	0	1	en
183505018	0	118821005	Procedure on digestive organ	0	1	en
183507014	0	118823008	Procedure on gallbladder	0	1	en
183508016	0	118824002	Procedure on biliary tract	0	1	en
183510019	0	118826000	Procedure on digestive tract	0	1	en
183515012	0	118831003	Procedure on intestine	0	1	en
183521011	0	118837004	Procedure on appendix	0	1	en
183522016	0	118838009	Procedure on large intestine	0	1	en
183523014	0	118839001	Procedure on colon	0	1	en
183539019	0	118855008	Procedure on bladder	0	1	en
183540017	0	118856009	Procedure on urethra	0	1	en
183561012	0	118877007	Procedure on prostate	0	1	en
183623016	0	65801008	Excision	0	1	en
183640013	0	120609008	Destruction of lesion	0	1	en
183647011	0	112697007	Operation on musculoskeletal system	0	1	en
183648018	0	112698002	Operation on joint	0	1	en
183684013	0	119580007	Trunk incision	0	1	en
183689015	0	119583009	Trunk excision	0	1	en
183706015	0	119595009	Trunk destructive procedure	0	1	en
183725017	0	119608007	Pelvis incision	0	1	en
184145014	0	119290003	Biopsy of gastrointestinal tract	0	1	en
184213012	0	119287009	Biopsy of large intestine	0	1	en
184259014	0	119916001	Biliary tract excision	0	1	en
184344018	0	118959001	Removal from urinary tract	0	1	en
184346016	0	118961005	Introduction to urinary tract	0	1	en
184369018	0	112902005	Partial cystectomy	0	1	en
186921013	0	118965001	Musculoskeletal system subdivision	0	1	en
186922018	0	113192009	Skeletal system	0	2	en
186923011	0	118966000	Skeletal system subdivision	0	1	en
186924017	0	113193004	Long bone	0	2	en
186999019	0	120230007	Joint of face	0	1	en
187031011	0	119253004	Upper aerodigestive tract	0	2	en
187032016	0	118969007	Respiratory system subdivision	0	1	en
187033014	0	116177003	Inhaled gas	0	1	en
187038017	0	113251008	Left lower lobe anterior segmental bronchus	0	2	en
187041014	0	113254000	Interstitial tissue of lung	0	2	en
187045017	0	113257007	Cardiovascular system	0	2	en
187054019	0	113262008	Thoracic aorta	0	2	en
187057014	0	119567009	Artery of head	0	2	en
187058016	0	119568004	Artery of neck	0	2	en
187063017	0	118633002	Artery of thorax	0	1	en
187093011	0	118971007	Digestive system subdivision	0	1	en
187094017	0	122865005	Gastrointestinal tract	0	2	en
187095016	0	113276009	Intestinal tract	0	2	en
187104011	0	118652008	Crypt of Lieberkühn	0	1	en
187111010	0	122489005	Urinary system	0	2	en
187112015	0	118972000	Urinary system subdivision	0	1	en
187113013	0	118973005	Genitourinary system subdivision	0	1	en
187122014	0	118974004	Female genital system subdivision	0	1	en
187127015	0	113293009	Left fallopian tube	0	2	en
187166011	0	117590005	Ear-related structure	0	2	en
187172011	0	113331007	Endocrine system	0	2	en
187178010	0	116003000	Immune system	0	2	en
187394012	0	118655005	Body part subdivision	0	1	en
187396014	0	113343008	Body organ	0	2	en
187397017	0	118760003	Viscus	0	2	en
187398010	0	116004006	Hollow viscus	0	1	en
187399019	0	116005007	Parenchymatous viscus	0	1	en
187405016	0	119186007	Bone part	0	1	en
187409010	0	119190009	Femur part	0	1	en
187414014	0	119194000	Joint part	0	1	en
187418012	0	119198002	Tracheobronchial tree part	0	1	en
187419016	0	119199005	Lung part	0	1	en
187421014	0	119201007	Cardiovascular organ part	0	1	en
187422019	0	119202000	Heart part	0	1	en
187423012	0	119203005	Aorta part	0	1	en
187425017	0	119205003	Arterial part	0	1	en
187426016	0	119206002	Blood vessel part	0	1	en
187434010	0	119214008	Large intestine part	0	1	en
187439017	0	119218006	Pancreas part	0	1	en
187442011	0	119221008	Bladder part	0	1	en
187510015	0	120573002	Extremity part	0	1	en
187511016	0	120574008	Upper extremity part	0	1	en
187512011	0	120575009	Lower extremity part	0	1	en
187547015	0	113345001	Abdomen	0	2	en
187548013	0	118762006	Peritoneal sac	0	2	en
